i;ID_QR;ID_xls;CHACRA_ID_QR;CANAL;LOTE;CHACRA;SUPERFICIE;ID_CAMPAÑA;ACTIVIDAD
891;Chacra Vieja1 40;Chacra Vieja 1 40;Chacra Vieja;1;40;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
892;Chacra Vieja2 1;Chacra Vieja 2 1;Chacra Vieja;2;1;Vieja;1;CHACRA VIEJA 4;P. MANT.
893;Chacra Vieja2 2;;Chacra Vieja;2;2;Vieja;#N/D;;#N/D
894;Chacra Vieja2 3;Chacra Vieja 2 3;Chacra Vieja;2;3;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
895;Chacra Vieja2 4;;Chacra Vieja;2;4;Vieja;#N/D;;#N/D
896;Chacra Vieja2 5;Chacra Vieja 2 5;Chacra Vieja;2;5;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
897;Chacra Vieja2 7;Chacra Vieja 2 7;Chacra Vieja;2;7;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
898;Chacra Vieja2 9;Chacra Vieja 2 9;Chacra Vieja;2;9;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
899;Chacra Vieja2 10;Chacra Vieja 2 10;Chacra Vieja;2;10;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
900;Chacra Vieja2 11;Chacra Vieja 2 11;Chacra Vieja;2;11;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
901;Chacra Vieja2 12;Chacra Vieja 2 12;Chacra Vieja;2;12;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
902;Chacra Vieja2 13;Chacra Vieja 2 13;Chacra Vieja;2;13;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
903;Chacra Vieja2 14;Chacra Vieja 2 14;Chacra Vieja;2;14;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
904;Chacra Vieja2 15;Chacra Vieja 2 15;Chacra Vieja;2;15;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
905;Chacra Vieja2 16;Chacra Vieja 2 16;Chacra Vieja;2;16;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
906;Chacra Vieja2 17;Chacra Vieja 2 17;Chacra Vieja;2;17;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
907;Chacra Vieja2 18;Chacra Vieja 2 18;Chacra Vieja;2;18;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
908;Chacra Vieja2 19;Chacra Vieja 2 19;Chacra Vieja;2;19;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
909;Chacra Vieja2 20;Chacra Vieja 2 20;Chacra Vieja;2;20;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
